food_code,food_group,food_name,edible_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fibre_g,ash_g,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,beta_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_dfe_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
04058,04 VEGETABLES AND VEGETABLE PRODUCTS,"Capsicum (sweet peper), yellow, boiled, drained (without salt)",,,,,,,,,,21.0,0.6,12.0,45.0,139.0,1.0,0.22,0.0,14.0,29.0,0.0,172.0,0.1,0.01,0.4,17.0,17.0,0.0,95.0
04059,04 VEGETABLE AND VEGETABLE PROCUCTS,"Capsicum (sweet peper), yellow, grilled (without salt and fat)",1.0,93.0,22.0,92.9,1.5,0.2,2.4,2.4,0.7,21.0,0.7,19.0,47.0,260.0,2.0,0.28,0.0,13.0,27.0,0.0,161.0,0.14,0.02,0.6,23.0,23.0,0.0,109.0
04060,04 VEGETABLES AND VEGETABLE PRODUCTS,"Capsicum (sweet peper), yellow, baked (without salt)",,,,,,,,,,20.0,0.7,18.0,45.0,252.0,2.0,0.27,0.0,13.0,26.0,0.0,156.0,0.13,0.02,0.6,22.0,22.0,0.0,106.0
04061,04 VEGETABLES AND VEGETABLE PRODUCTS,"Carrot, peeled, boiled, drained (without salt)",,,,,,,,,,34.0,0.5,11.0,24.0,120.0,21.0,0.11,0.0,564.0,1130.0,0.0,6770.0,0.03,0.02,0.2,10.0,10.0,0.0,2.0
04062,04 VEGETABLE AND VEGETABLE PROCUCTS,"Carrot, peeled, stewed (without salt)",1.0,129.0,31.0,90.2,0.8,0.2,4.7,3.4,0.7,35.0,0.6,17.0,26.0,261.0,37.0,0.14,0.0,552.0,1110.0,0.0,6630.0,0.04,0.03,0.2,13.0,13.0,0.0,5.0
04063,04 VEGETABLE AND VEGETABLE PROCUCTS,"Cauliflower, tops and stems, boiled, drained (without salt)",1.0,79.0,19.0,93.2,2.0,0.2,0.9,2.8,0.9,16.0,0.6,6.0,44.0,146.0,23.0,0.19,0.0,0.0,0.0,0.0,1.0,0.04,0.06,0.3,22.0,22.0,0.0,46.0
04064,04 VEGETABLE AND VEGETABLE PROCUCTS,"Celery, stalk, boiled, drained (without salt)",1.0,127.0,30.0,89.9,0.7,0.1,5.8,1.6,1.9,74.0,0.8,13.0,50.0,148.0,23.0,0.18,2.0,39.0,78.0,0.0,465.0,0.02,0.02,0.3,7.0,7.0,0.0,9.0
04065,04 VEGETABLE AND VEGETABLE PROCUCTS,"Courgette, green, unpeeled, boiled, drained (without salt)",1.0,86.0,21.0,94.2,1.0,0.3,2.8,1.2,0.4,19.0,0.4,11.0,34.0,104.0,1.0,0.28,1.0,14.0,28.0,0.0,168.0,0.02,0.04,0.4,9.0,9.0,0.0,17.0
04066,04 VEGETABLE AND VEGETABLE PROCUCTS,"Cowpea, leaves, picked, boiled, drained (without salt)",1.0,117.0,28.0,89.2,3.2,0.4,0.6,4.7,1.8,170.0,1.9,27.0,15.0,231.0,22.0,0.53,0.0,0.0,0.0,0.0,0.0,0.3,0.23,1.0,45.0,45.0,0.0,19.0
04067,04 VEGETABLES AND VEGETABLE PRODUCTS,"Cowpea, leaves, picked, steamed (without salt)",,,,,,,,,,155.0,1.9,37.0,14.0,358.0,23.0,0.58,0.0,0.0,0.0,0.0,0.0,0.34,0.29,1.1,49.0,49.0,0.0,24.0
04068,04 VEGETABLE AND VEGETABLE PROCUCTS,"Eggplant / Brinjal, different varieties, whole edible, boiled, drained (without salt)",1.0,119.0,29.0,90.1,1.3,0.3,3.0,4.3,1.0,19.0,0.3,14.0,34.0,108.0,2.0,0.17,0.0,12.0,24.0,0.0,141.0,0.03,0.03,0.4,16.0,16.0,0.0,1.0
04069,04 VEGETABLES AND VEGETABLE PRODUCTS,"Eggplant / Brinjal, different varieties, whole edible, stewed (without salt)",,,,,,,,,,23.0,0.5,26.0,44.0,250.0,4.0,0.26,1.0,14.0,27.0,0.0,164.0,0.06,0.06,0.6,25.0,25.0,0.0,2.0
04070,04 VEGETABLES AND VEGETABLE PRODUCTS,"Jute mallow, picked leaves, boiled, drained (without salt)",,,,,,,,,,207.0,5.0,19.0,84.0,149.0,14.0,0.46,1.0,205.0,411.0,0.0,2466.0,0.06,0.23,0.4,61.0,61.0,0.0,18.3
04071,04 VEGETABLE AND VEGETABLE PROCUCTS,"Jute mallow, picked leaves, stewed (without salt)",1.0,231.0,56.0,78.2,5.7,0.2,2.6,10.2,3.1,255.0,7.8,37.0,109.0,349.0,23.0,0.72,1.0,241.0,482.0,0.0,2892.0,0.1,0.4,0.6,101.0,101.0,0.0,32.2
04072,04 VEGETABLE AND VEGETABLE PROCUCTS,"Kale, Ethiopian (kanzera), leaves, boiled, drained (without salt)",1.0,108.0,26.0,90.8,3.1,0.6,0.2,3.8,1.5,105.0,4.0,31.0,43.0,304.0,5.0,0.48,0.0,101.0,203.0,0.0,1215.0,0.04,0.14,0.6,35.0,35.0,0.0,51.0
