county,fertilizer_entered_year,fertilizer_pilot,fertilizer_phase,source
Uasin Gishu,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Trans Nzoia,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Nandi,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Elgeyo Marakwet,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Nakuru,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Kericho,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Bomet,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Narok,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
West Pokot,2023,1,2023 long-rains pilot,KNA/MoALD pilot list 2023
Baringo,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Bungoma,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Busia,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Embu,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Homa Bay,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Isiolo,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kajiado,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kakamega,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kiambu,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kirinyaga,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kisii,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kisumu,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Kitui,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Laikipia,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Makueni,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Machakos,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Meru,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Migori,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Murang'a,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Nyeri,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Nyamira,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Nyandarua,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Tharaka Nithi,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Siaya,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Vihiga,2023,0,2023 scale-up,KNTC 34-county list 2023-06
Mombasa,2024,0,2024 nationwide,MoALD nationwide 2024
Kwale,2024,0,2024 nationwide,MoALD nationwide 2024
Kilifi,2024,0,2024 nationwide,MoALD nationwide 2024
Tana River,2024,0,2024 nationwide,MoALD nationwide 2024
Lamu,2024,0,2024 nationwide,MoALD nationwide 2024
Taita Taveta,2024,0,2024 nationwide,MoALD nationwide 2024
Garissa,2024,0,2024 nationwide,MoALD nationwide 2024
Wajir,2024,0,2024 nationwide,MoALD nationwide 2024
Mandera,2024,0,2024 nationwide,MoALD nationwide 2024
Marsabit,2024,0,2024 nationwide,MoALD nationwide 2024
Turkana,2024,0,2024 nationwide,MoALD nationwide 2024
Samburu,2024,0,2024 nationwide,MoALD nationwide 2024
Nairobi,2024,0,2024 nationwide,MoALD nationwide 2024
