indicator,value_pct,source,note
Stunting,18,KDHS 2022,Too short for age (chronic undernutrition)
Wasting,5,KDHS 2022,Too thin for height (acute undernutrition)
Underweight,10,KDHS 2022,Too thin for age
Overweight,3,KDHS 2022,Sign of overnutrition
Stunting,26,KDHS 2014,Trend reference
Underweight,11,KDHS 2014,Trend reference
Wasting,4,KDHS 2014,Trend reference
Stunting,35,2008/2009,Trend reference
Stunting,40,1993,Trend reference
