county,indicator,value_pct,source,note
Kilifi,Stunting,37,KDHS 2022,Highest county stunting cited
West Pokot,Stunting,34,KDHS 2022,High county stunting cited
Samburu,Stunting,31,KDHS 2022,High county stunting cited
Kisumu,Stunting,9,KDHS 2022,Lowest county stunting cited
