county,indicator,value_pct,source,note,county_code,county_name
Kilifi,Stunting,37,KDHS 2022,Highest county stunting cited,KE003,Kilifi
West Pokot,Stunting,34,KDHS 2022,High county stunting cited,KE024,West Pokot
Samburu,Stunting,31,KDHS 2022,High county stunting cited,KE025,Samburu
Kisumu,Stunting,9,KDHS 2022,Lowest county stunting cited,KE042,Kisumu
