county_name,stunting_actionplan,soc,phh2o,nitrogen,cec,maize_price_median,maize_price_cv
Kilifi,37.0,13.99,6.43,1.12,15.79,42.75,0.23
West Pokot,34.0,22.59,6.66,1.9,26.0,,
Samburu,31.0,15.49,7.11,1.31,22.15,69.0,0.21
Kisumu,9.0,17.17,4.59,1.56,16.41,,
