critical_transition,cost_kes_millions
Food loss and waste,12100.0
Healthy diets,9000.0
Protecting and restoring nature,8900.0
Productive and regenerative agriculture,8750.0
Gender and social inclusion,6700.0
Coordination of strategy implementation,4000.0
Monitoring and evaluation,3250.0
